categoy,Sub Category,name,ref,barcode,cost,vendor,public_price,Size_H,Size_W,Color,Gender
T-shirt,42171000,me628 gaatjes new york athletic style ondertshirt gelijnd,64114,4589000662052,"12,99",COM20695,"39,95",M,42,Pink lila,Woman
Blouse,91091000,ep8cf79 open hals 4 springplooi manchet pailletten wijd,64121,4589000662281,"16,9",COM7663,"52,95",XS,43, Red,Man
T-shirt,91044900,c00623 16003 grote margriet open hals glanzend,64134,4589000674079,"16,99",COM23594,"51,95",XL,40,Blue fushia,Woman
Jacket,91044900,c00624 92003 bloem open hals buikplooien,64139,4589000662922,"33,99",COM25801,"103,95",L,41,Blue ,Man
Jacket,91044900,c00624 92003 bloem open hals buikplooien,64139,4589000662939,"33,99",COM7778,"103,95",XXL,43,Blue ,Woman
rok,91044900,ep8cf44 zijde gevoerd klokrok kort,64159,4589000664933,"17,9",COM12268,"54,95",L,41,fushia,Woman
Jacket,42171000,ep8eg183 linnen open hals 10 springplooien wijde rok,64162,4589000665121,"23,9",COM18683,"72,95",M,43,fushia,Woman
pantalon,91023010,tl1089 zijgalon slim fit,64220,4589000667507,29,COM23750,"85,95",M,37, Red,Woman
vest,91091000,c00625 85003 colberthals 3/4 mouw omslag 4 sierknopen,64261,4589000679531,"23,99",COM15602,"73,95",S,37,White,Man
Jacket,91023010,c00626 58003 open hals gefronste zijkant kapmouw+3 plooien geglazuurd ,64295,4589000677360,"27,99",COM12639,"85,95",XXL,XXL, Red,Woman
riem,42171000,slang pareltjes medaillon strik strass 2 bloemen,64304,4589000674871,4,COM20695,"19,95",L,43,Gold,Man
riem,84031900,tresse smal laké ecoleder,64406,4589000686423,3,COM7663,"16,95",XXXL,44,,Man
vest,91023010,GFC1064078003 reverskraag visgraat mouw+rug horizontaal doorstikt,64448,4589000697955,"55,99",COM23594,"177,95",M,42,Grey Black,Woman
Blouse,91044900,GFC1063670003 envelop glansstof kraag metalen punten bindlint,64453,4589000696378,"26,99",COM25801,"85,95",XXL,42,Pink Black,Man
rok,91081100,GFC1063720003 mousseline floqué lasergesneden gevoerd,64467,4589000696835,"37,99",COM7778,"119,95",M,37,beig Black,Woman
Jacket,91044900,25c2/q inzetstuk jacquard gebloemd schoudersplit kapmouw tube gevoerd,64490,4589000690925,"29,5",COM12268,"93,95",XXL,41,vison Black,Man
laars,42171000,eda108 stevige hak 7cm kalfsleder ,64497,4589000691267,"59,9",COM18683,"179,95",S,39,taupe,Man
schoen,91109090,"eda105 hooggesloten binnenrits stevige hoge hak 7,5 cm kalfsleder ",64498,4589000691342,46,COM23750,"139,95",XXL,40,Grey,Man
schoen,84031900,im3508 talon studs hoge fijne hak lakleder,64499,4589000691359,59,COM15602,"179,95",XS,31,Red,Woman
schoen,84031900,im3508 talon studs hoge fijne hak lakleder,64499,4589000691366,59,COM12639,"179,95",L,42,Red,Man
schoen,91106310,lf3050 plateau hoge fijne hak dikke zool 22 mm alcantara,64501,4589000691465,"29,9",COM20695,"89,95",XL,38,Grey donker,Man
enkellaars,84031900,ef721 strass rits enkelband+gesp kalfsleder daim brede hak 48mm,64503,4589000711026,"49,9",COM7663,"149,95",L,37,Grey donker,Man
vest,91106310,GFC1012112002 satijn floqué ronde hals+knoop 3/4 mouw,64534,4589000693162,"25,99",COM23594,"82,95",L,40,Black,Woman
vest,91106310,GFC1012112002 satijn floqué ronde hals+knoop 3/4 mouw,64534,4589000693179,"25,99",COM25801,"82,95",M,37,Black,Woman
vest,91106310,GFC1012112002 satijn floqué ronde hals+knoop 3/4 mouw,64534,4589000693186,"25,99",COM7778,"82,95",L,44,Black,Man
vest,91106310,GFC1012112002 satijn floqué ronde hals+knoop 3/4 mouw,64534,4589000693209,"25,99",COM12268,"82,95",L,41,Black,Man
Blouse,91023010,GFC1063698003 ruches zilverdraad puntkraag gouden knopen,64578,4589000696439,"29,99",COM18683,"95,95",L,39,Red,Woman
Blouse,91023010,GFC1063698003 ruches zilverdraad puntkraag gouden knopen,64578,4589000696446,"29,99",COM23750,"95,95",L,43,Red,Man
mantel,91091000,GFC1063850003 piqué horizontale matlasse drapage kraag 1 knoop,64587,4589000697320,"56,99",COM12639,"179,95",M,38,Black,Woman
vest,91044900,GFC1063862003 pique brede kraag 4 knopen 3/4 mouw gevoerd,64589,4589000697535,"39,99",COM15602,"126,95",XL,42,Pink oud,Man
pantalon,91044900,GFC1064366003 gebloemd glanscoating 5 pocket lage taille,64602,4589000698570,"32,99",COM12639,"104,95",XL,43,mosterd Grey,Man
pul trui,91023010,cfm0006801003 coltrui middenrib lange mouw skinny,64610,4589000698983,"23,99",COM20695,"75,95",XS,41,,Man
collier,91099090,142332 brede schakel doorsteeklint 8 grote ovale oplegslijpsels,64623,4589000699614,"6,5",COM7663,"26,95",XXXL,44,bord Gold,Man
collier,91099090,142332 brede schakel doorsteeklint 8 grote ovale oplegslijpsels,64623,4589000699652,"6,5",COM23594,"26,95",S,37,Blue Gold,Woman
schoen,84011900,lf3223 alcantara spitse neus ajour hoge fijne hak hielrits ecologische,64636,4589000700334,"33,5",COM25801,"97,95",XL,43,Red,Man
schoen,84011900,lf3223 alcantara spitse neus ajour hoge fijne hak hielrits ecologische,64636,4589000700341,"33,5",COM7778,"97,95",M,44,Red,Man
pantalon,42171000,5237b bronscoating lage taille 2 achterzakken slim fit,64645,4589000700532,"27,5",COM12268,"89,95",M,38,brons,Man
totaalstuk,42144589,58f kanten inzetstuk tailleband uni velours zonder mouw,64712,4589000704646,"39,5",COM18683,"125,95",S,37,Black,Man
pul trui,91023010,7001n midden rib biais rolkraag wijd,64731,4589000705391,"29,5",COM23750,"87,95",XS,41,Grey antraciet,Woman
vest,91099090,GFC1063412003 imitatiebont bicolor ronde hals kort,64754,4589000707401,"34,99",COM15602,"109,95",L,37,vison beige,Woman
mantel,91106310,ei8eg23 diagonale fijne ribvelours blindsluiting hooggesloten kraag,64779,4589000709351,"43,9",COM12639,"139,95",M,42,Grey antraciet,Man
mantel,91099090,12 kraag imitatiebont horizontaal doorstikt rits taillebinder,64948,4589000717257,"49,5",COM20695,"157,95",S,44,vison,Woman
mantel,91099090,12 kraag imitatiebont horizontaal doorstikt rits taillebinder,64948,4589000723326,"49,5",COM7663,"157,95",XXL,39,Black,Woman
enkellaars,84011900,340349 omslag lurex suèdeleer binnen leer+kunststof gummi geribde zool,64986,4589000718629,51,COM23594,"149,95",XL,41,brons,Woman
enkellaars,84011900,340349 omslag lurex suèdeleer binnen leer+kunststof gummi geribde zool,64986,4589000718636,51,COM25801,"149,95",L,40,brons,Woman
pantalon,91023010,r24230 brede tailleband rechte pijp,65028,4589000720578,"18,99",COM7778,"59,95",S,39,Black,Man
mantel,91023010,GFC1064963003 imitatiebont ronde hals 3 metalenknopen gevoerd,65069,4589000722206,"52,99",COM12268,"169,95",M,43,vison,Man
mantel,91091000,GFC1065000003 langharig 2 insteekzakken ,65071,4589000722268,"27,99",COM18683,"89,95",M,38,beige,Woman
Blouse,91044900,4511 satijn kasjmirprint ,65121,4589000725054,"32,9",COM23750,"105,95",M,37,Red mosterd,Woman
Jacket,91023010,GFC1064499003 tule v hals godet gevoerd ,65136,4589000725559,"46,99",COM15602,"149,95",L,38,Bluenavy,Woman
Jacket,91044900,GFC1065100003 ecoleer crepe portefeuille rok ,65202,4589000728628,"34,99",COM12639,"109,95",M,37,Red Black,Man
Blouse,91106310,GFC1065549003 collier sierstenen aanpassend katoenpopeline,65379,4589000737811,"23,99",COM20695,"75,95",M,44,White,Man
Blouse,91106310,GFC1065549003 collier sierstenen aanpassend katoenpopeline,65379,4589000739983,"23,99",COM7663,"75,95",S,39,Black,Man
Jacket,84031900,r7741 lurex rug inzet tule strass opening druppelvorm aanpassend,65418,4589000738979,16,COM23594,"49,95",M,38,Silver,Woman
Jacket,91023010,GFC1065654003 crepe georgette boven buste netstof enveloprok,65535,4589000742846,"29,99",COM25801,"95,95",XXXL,38,Black,Man
Blouse,91044900,ei8eg151crepe grote volan gedrapeerd ronde hals+top,65577,4589000744383,"19,9",COM7778,"59,95",XL,37, White,Woman
riem,84011900,18641 fijn striksluiting geslepen steen 6 studs echt leder 9mm,65611,4589000745175,10,COM12268,"29,95",S,39,brons,Woman
Jacket,84031900,GFC10128 58002 satijn grote bloemkantprint A lijn neopreen gelaserd,65638,4589000758359,"25,99",COM18683,"82,95",XXL,31,Pink vison,Woman
vest,91091000,GFC10662 90003 crepe halflang gepunt ,65642,4589000746653,"13,99",COM23750,"44,95",XXL,41,Blueindigo,Man
vest,91091000,GFC10662 90003 crepe halflang gepunt ,65642,4589000758526,"13,99",COM12268,"44,95",S,42,Pink,Man
vest,91091000,GFC10662 90003 crepe halflang gepunt ,65642,4589000767696,"13,99",COM18683,"44,95",L,37,Bluedonker,Man
pantalon,91044900,GFC10663 11003 technostof slimfit suede centuur ingestampte ringen,65643,4589000762455,"27,49",COM23750,"87,95",XXL,43,Pink,Woman
Blouse,42171000,GFC10664 89003 seersucker kant onderboord opstikzak+strik maoptreklint,65651,4589000747391,"27,99",COM15602,"88,95",XS,37, White,Man
T-shirt,91023010,GFC10665 98003 satijn grote bloem ulangere afgeronde rug+metalenknopen,65658,4589000747957,"27,99",COM12639,"88,95",S,37,beig Blue,Man
T-shirt,91023010,GFC10665 98003 satijn grote bloem ulangere afgeronde rug+metalenknopen,65658,4589000747971,"27,99",COM20695,"88,95",S,39,beig Blue,Woman
T-shirt,91023010,GFC10665 98003 satijn grote bloem ulangere afgeronde rug+metalenknopen,65658,4589000747988,"27,99",COM7663,"88,95",L,40,beig Blue,Woman
T-shirt,91023010,GFC10665 98003 satijn grote bloem ulangere afgeronde rug+metalenknopen,65658,4589000759004,"27,99",COM23594,"88,95",S,40,Pink beige,Man
Blouse,91044900,GFC10666 76003 crepe georgette A lijn tunesiche kraag+metaalplaat onde,65659,4589000748060,"23,99",COM25801,"75,95",M,43,lblau White,Man
vest,91023010,GFC10667 36003 struktuurstof gestikte hartjes blazer afgeronde langere,65661,4589000748428,"31,99",COM7778,"99,95",M,39,zalm,Man
vest,91023010,GFC10667 36003 struktuurstof gestikte hartjes blazer afgeronde langere,65661,4589000748435,"31,99",COM12268,"99,95",S,37,zalm,Man
vest,91023010,GFC10667 36003 struktuurstof gestikte hartjes blazer afgeronde langere,65661,4589000748442,"31,99",COM18683,"99,95",L,38,zalm,Man
vest,91023010,GFC10667 36003 struktuurstof gestikte hartjes blazer afgeronde langere,65661,4589000748459,"31,99",COM23750,"99,95",XXL,40,zalm,Man
Jacket,91091000,GFC10667 14003 buikplooien vlekkenprint asymetrische v hals gevoerd,65663,4589000753873,"32,99",COM15602,"104,95",L,38,White Black,Woman
Jacket,91091000,GFC10667 34003 organza gebloemd uni transparant gekruist opstiklint,65664,4589000748497,"49,99",COM12639,"158,95",XL,42,Green ,Man
vest,91081100,GFC10671 57003 blazer struktuurstof hartjes gestikt 4 sierknopen,65673,4589000749166,"31,99",COM20695,"99,95",XS,38,Black,Woman
pul trui,91044900,GFC10671 62003 front bloem rug hart inzetstuk netstof wijd,65675,4589000749227,"25,99",COM7663,"82,95",XS,44,Blue White,Woman
Blouse,91106310,GFC10667 58003 seersucker strik+4bandplooi aan hals A lijn,65677,4589000749326,"17,99",COM23594,"56,95",S,39,beige,Man
T-shirt,91023010,GFC10668 93003 vlinder pailletten gefronst dubbel kapmouw open hals,65679,4589000749470,"19,99",COM25801,"63,95",L,43,White Pink,Man
vest,91023010,GFC10670 10003 afgerond kort neopreen,65683,4589000759110,"16,99",COM7778,"53,95",L,37,Pink oud,Woman
Jacket,91044900,GFC10668 11003 satijn horizontale plooien gebloemd kokerJacket,65687,4589000749982,"38,99",COM12268,"119,95",XXL,37,Blue Green,Man
Jacket,91044900,11h open hals schouderbandje crepe gelijnde boord up+down band in kant,65693,4589000750186,"29,5",COM18683,"87,95",S,39,White Black,Man
Jacket,91044900,02c grote bloem open V rug+gekruiste linten onder 2 kant banden gevoer,65694,4589000750230,"29,5",COM23750,"87,95",M,42,White Black,Woman
Jacket,91044900,13a crepe dubbel bicolor middensplit+strik open hals recht model,65696,4589000750339,"29,5",COM15602,"87,95",XS,31,dBlue ,Woman
Jacket,91044900,14l satijn grote bloem onder brede boord kant open v in rug ,65697,4589000750360,"29,5",COM12639,"87,95",XL,40,Red White,Woman
Jacket,91044900,14l satijn grote bloem onder brede boord kant open v in rug ,65697,4589000750377,"29,5",COM20695,"87,95",XL,44,Red White,Man
T-shirt,91023010,2056eleo medaillon tijger bloem swarovski rug v geknoopt ,65708,4589000750858,"19,5",COM7663,"59,95",L,43,Red White,Woman
pul trui,91091000,2011p halflang 2 opstikzakken tunesische kraag fijne tricot,65720,4589000751329,32,COM23594,"94,95",S,41,Bluedonker,Man
pul trui,91091000,2011p halflang 2 opstikzakken tunesische kraag fijne tricot,65720,4589000751343,32,COM25801,"94,95",XL,39,Black,Woman
pul trui,91091000,2011p halflang 2 opstikzakken tunesische kraag fijne tricot,65720,4589000751344,32,COM7778,"94,95",M,38,Black,Woman
pul trui,91091000,2011p halflang 2 opstikzakken tunesische kraag fijne tricot,65720,4589000751350,32,COM12268,"94,95",XXL,42,terra cotta,Woman
pul trui,42171000,2019p 8 sierknopen tunesische kraag fijne steek sluiting lint boord,65722,4589000751466,25,COM18683,"73,95",M,43,Bluedonker,Man
pul trui,42171000,2019p 8 sierknopen tunesische kraag fijne steek sluiting lint boord,65722,4589000751497,25,COM23750,"73,95",XL,43,Black,Woman
pul trui,42171000,2021p mouw afgerond fijn breigoed,65723,4589000762226,18,COM12639,"52,95",M,44, Red,Woman
pul trui,42171000,2029p wijd ondervolan+zijsplit tule open hals fijne steek,65724,4589000751596,"30,5",COM15602,"89,95",S,39,Blueazuur,Man
pul trui,42171000,2029p wijd ondervolan+zijsplit tule open hals fijne steek,65724,4589000751626,"30,5",COM12639,"89,95",M,43,Pink,Woman
pul trui,42171000,2090p rugsplit+strikjes open hals fijne steek wijd model,65725,4589000751671,28,COM20695,"82,95",XL,44,Pink,Woman
pul trui,91109090,3001p grove lintsteek boothals ,65726,4589000751695,"21,5",COM7663,"63,95",S,43,Black,Man
pul trui,91099090,5002p open lintsteek geknoopte franjes taille+manchet kort+wijd,65728,4589000751756,"35,5",COM23594,"104,95",S,43,terra cotta,Woman
pul trui,91099090,5002p open lintsteek geknoopte franjes taille+manchet kort+wijd,65728,4589000751763,"35,5",COM25801,"104,95",L,44,Black,Woman
pul trui,91023090,7014p A lijn horizontale fijne rib afgeronde zoom open hals half lang,65731,4589000751855,"27,5",COM7778,"79,95",XXL,37,zalm,Woman
pul trui,91023090,7014p A lijn horizontale fijne rib afgeronde zoom open hals half lang,65731,4589000751879,"27,5",COM12268,"79,95",XS,43, Red,Man
T-shirt,91044900,up0288 lurex fijn geribd medium bandje basic,65736,4589000752388,11,COM18683,"32,95",XXXL,40,vison Silver,Woman
T-shirt,91044900,up0288 lurex fijn geribd medium bandje basic,65736,4589000789148,11,COM23750,"32,95",XS,38,vison Gold,Woman
riem,42171000,flct5005 ecoleren gesp gevlochten ovale ring brede elastane,65741,4589000752739,4,COM15602,"19,95",L,42,beige,Woman
riem,42171000,flct5005 ecoleren gesp gevlochten ovale ring brede elastane,65741,4589000752753,4,COM12639,"19,95",M,37,Pink,Man
riem,84031900,flct5002 gesp bloem uitgestanst ecoleer ring elastane 6 cm,65742,4589000752814,4,COM20695,"19,95",XXL,42,camel,Woman
riem,84031900,flct5002 gesp bloem uitgestanst ecoleer ring elastane 6 cm,65742,4589000752821,4,COM7663,"19,95",XL,42,mastiek,Woman
riem,84031900,flct5002 gesp bloem uitgestanst ecoleer ring elastane 6 cm,65742,4589000752852,4,COM23594,"19,95",XS,43,beige,Man
riem,84031900,flct5002 gesp bloem uitgestanst ecoleer ring elastane 6 cm,65742,4589000752876,4,COM25801,"19,95",L,41,mastiek,Woman
riem,91109090,bindcentuur gestikte linten echt leder,65743,4589000784044,12,COM7778,"37,95",L,31,mint,Woman
riem,91109090,bindcentuur gestikte linten echt leder,65743,4589000784068,12,COM12268,"37,95",L,42, Red,Woman
sjaal,42171000,micromod fijn bloemetjes 8 bladjes gefronst zijkant gerafeld,65749,4589000753095,9,COM18683,"29,95",XL,42, Pink,Man
sjaal,84031900,micromod tye&die zijkant gerafeld langwerpig,65750,4589000753194,6,COM23750,"22,95",XXL,31,Blueindigo,Man
sjaal,84031900,micromod tye&die zijkant gerafeld langwerpig,65750,4589000753200,6,COM15602,"22,95",XS,42,Pink,Woman
sjaal,84031900,micromod tye&die zijkant gerafeld langwerpig,65750,4589000768952,6,COM12639,"22,95",S,38,zalm,Man
sjaal,91109090,micromod wazige bloem garen afgeboord zijkant gerafeld,65751,4589000753255,9,COM20695,"29,95",S,41,mint Pink,Woman
sjaal,84031900,5124re grote bloem 5 bladjes zwarte penseelstreep afgeboord,65760,4589000753354,6,COM7663,"22,95",XXL,43,Pink ,Man
handtas,91091000,22306 rechthoek gouden scharnier ronde gouden plakket,65770,4589000753569,13,COM23594,"39,95",L,37,Blueazuur,Woman
pul trui,91109090,7002p Vhals rugsplit volan gepunt geknoopt grove steek kort,65784,4589000754375,"39,5",COM25801,"116,95",M,42,Black,Man
pul trui,91109090,2068p fijne steek ronde hals 8 nacre knopen kort,65794,4589000754436,"27,5",COM7778,"79,95",XL,41,terra cotta,Woman
vest,91023010,tp0080 crepe lang kraagloos gepunt zonder sluiting 2 klepzakkengevoerd,65796,4589000754474,31,COM12268,"89,95",M,38,Bluedonker,Woman
mantel,91109090,tp0088 crepe georgette kraagloos 3/4 mouw 2 insteekzakken,65799,4589000754542,"32,5",COM18683,"96,95",M,38,Black,Man
Jacket,91044900,GFC10664 70003 open hals lepel boord franjes crepe kokerJacket,65810,4589000755068,"39,99",COM23750,"126,95",L,43,dBlueBlack,Woman
vest,91023010,GFC10127 18002 ronde hals crepe georgette gevoerd kort,65811,4589000755105,"29,99",COM12268,"95,95",S,37,Bluedonker,Woman
vest,91023010,GFC10127 18002 ronde hals crepe georgette gevoerd kort,65811,4589000755112,"29,99",COM18683,"95,95",XL,43,Bluedonker,Woman
vest,91023010,GFC10127 18002 ronde hals crepe georgette gevoerd kort,65811,4589000755143,"29,99",COM23750,"95,95",XS,38, White,Woman
vest,91023010,GFC10127 18002 ronde hals crepe georgette gevoerd kort,65811,4589000755181,"29,99",COM15602,"95,95",S,40,Black,Woman
vest,91044900,GFC10663 90003 ecoleer ronde hals kraagloos,65813,4589000755280,"24,99",COM12639,"79,95",M,42,,Man
vest,91044900,GFC10664 66003 crepe boord franjes ronde hals gevoerd ,65815,4589000755457,"49,99",COM20695,"158,95",XL,42,dBlueBlack,Man
vest,91044900,GFC10664 66003 crepe boord franjes ronde hals gevoerd ,65815,4589000758588,"49,99",COM7663,"158,95",XL,41,Pink Black,Man
vest,91044900,GFC10664 66003 crepe boord franjes ronde hals gevoerd ,65815,4589000758595,"49,99",COM23594,"158,95",M,42,zalm Black,Woman
vest,91044900,GFC10664 66003 crepe boord franjes ronde hals gevoerd ,65815,4589000758601,"49,99",COM25801,"158,95",XL,43,zalm Black,Man
Jacket,84031900,GFC10668 09003 godetrok net+denim oplegbloemen open hals gelaserd,65821,4589000755655,"42,99",COM7778,"136,95",M,43,White Blue,Man
Jacket,91023010,GFC10670 45003 wijd crepe georgette gelaserd rits rug,65826,4589000755938,"22,99",COM12268,"72,95",M,39,Bluekonings,Man
Jacket,91081100,GFC10671 64003 tule serpent plisse asymetrische bretel gevoerd,65832,4589000756188,"42,99",COM18683,"136,95",XL,43,beig Black,Man
Jacket,91081100,GFC10671 64003 tule serpent plisse asymetrische bretel gevoerd,65832,4589000756195,"42,99",COM23750,"136,95",XS,43,beig Black,Woman
Jacket,91081100,GFC10671 64003 tule serpent plisse asymetrische bretel gevoerd,65832,4589000756218,"42,99",COM15602,"136,95",S,39,beig Black,Man
Jacket,91044900,GFC10672 15003 front satijn vlinderprint rug lurex mousse open hals,65833,4589000756232,"23,99",COM12639,"75,95",XXL,37,Blue White,Woman
T-shirt,91044900,GFC10665 49003 Uhals hart pailletten crepe mouw+volan netstof ,65834,4589000756263,"23,99",COM20695,"75,95",L,43,Pink fushia,Woman
mantel,91023010,GFC10667 68003 crepe sjaalkraag uitgespaarde 3hoek 2 sierkleppen,65836,4589000774922,"29,99",COM7663,"95,95",XS,39, Red,Woman
mantel,91106310,GFC10669 83003 bicolor crepe georgette brede boord ronde hals gevoerd,65837,4589000756379,"54,99",COM23594,"174,95",XL,38,dBlue White,Man
vest,91023010,GFC10670 54003 rhcirkels+margriet horizontaal gewatteerd gevoerd ,65839,4589000756423,"47,99",COM25801,"149,95",M,40, Black,Woman
vest,91023010,GFC10670 54003 rhcirkels+margriet horizontaal gewatteerd gevoerd ,65839,4589000756430,"47,99",COM7778,"149,95",S,41, Black,Man
vest,91023010,GFC10670 54003 rhcirkels+margriet horizontaal gewatteerd gevoerd ,65839,4589000756447,"47,99",COM12268,"149,95",L,42, Black,Man
vest,91109090,GFC10670 68003 crepe sjaalkraag uitgespaarde 3hoek 2 klepzak gevoerd,65840,4589000756461,"42,99",COM18683,"136,95",XXL,31,Pink,Woman
Jacket,91044900,GFC10672 88003 wijd cachemirprint open hals,65842,4589000756522,"31,99",COM23750,"99,95",XS,43,White Black,Woman
pul trui,91091000,cfm00070 71003 fijn steek gepunt+puntsluiting 2 insteekzakken,65845,4589000756638,"29,99",COM15602,"95,95",XS,37,Pink,Woman
pul trui,91091000,cfm00070 71003 fijn steek gepunt+puntsluiting 2 insteekzakken,65845,4589000756676,"29,99",COM12639,"95,95",XXXL,39,Black,Man
pul trui,91091000,cfm00070 71003 fijn steek gepunt+puntsluiting 2 insteekzakken,65845,4589000775417,"29,99",COM20695,"95,95",M,43,Blueazuur,Man
pul trui,91091000,cfm00070 71003 fijn steek gepunt+puntsluiting 2 insteekzakken,65845,4589000775424,"29,99",COM7663,"95,95",L,42,Blueazuur,Woman
vest,91091000,06f crepe georgette sjaalkraag gevoerd haaksluiting gepunt,65847,4589000756744,"39,5",COM23594,"116,95",L,31, White,Woman
vest,91091000,06f crepe georgette sjaalkraag gevoerd haaksluiting gepunt,65847,4589000756751,"39,5",COM25801,"116,95",L,37, White,Woman
Blouse,91091000,15129 seersucket v hals 5 nacre knopen wijd bicolor afgeboord kraagloo,65855,4589000757000,"23,5",COM7778,"69,95",XXL,39,beig ,Man
handtas,91109090,acv00084 79003 oplegmargrietjes*11 ecoleer afgeronde ritsboord,65859,4589000757093,"15,99",COM12268,"49,95",S,37,Black,Woman
